Name,Nationality,Age,Height(cm),Weight(kg),Overall,Potential,Club,Preferred Foot,W/F,Best Position,Value(Thousand$),IR
D. Grétarsson,Iceland,24,185,76,64,71,Blackpool,Left,1,CB,1000.0,1
A. McEneff,Northern Ireland,24,175,70,64,69,Shamrock Rovers,Right,1,CM,875.0,1
A. Buziuc,Romania,26,175,76,64,67,FCSB (Steaua),Right,1,ST,775.0,1
B. Öztürk,Turkey,24,185,75,64,70,Antalyaspor,Right,1,CB,850.0,1
M. Verreth,Belgium,22,181,74,64,71,Waasland-Beveren,Right,1,RM,1000.0,1
S. Lorenz,Germany,23,187,84,64,70,Holstein Kiel,Right,1,CB,850.0,1
S. Kroll,Germany,23,191,87,64,72,SpVgg Unterhaching,Right,1,GK,1000.0,1
A. Anani,Ivory Coast,25,179,68,64,68,Grenoble Foot 38,Right,1,ST,825.0,1
J. Daland,Norway,20,189,75,64,76,IK Start,Right,1,CB,1000.0,1
T. Mickel,Germany,31,185,84,64,64,Hamburger SV,Right,1,GK,300.0,1
H. Otani,Japan,35,174,67,64,64,Kashiwa Reysol,Right,1,CDM,160.0,1
O. Beckles,Grenada,28,191,78,64,65,Crewe Alexandra,Left,1,CB,550.0,1
J. Löhmannsröben,Germany,29,186,87,64,64,FC Hansa Rostock,Right,1,CB,500.0,1
Z. Šarlija,Croatia,23,189,80,64,70,MKE Ankaragücü,Right,1,CB,850.0,1
M. Ștefănescu,Romania,21,173,66,64,76,Sepsi OSK,Left,1,ST,1000.0,1
Park Yi-Young,Korea Republic,26,186,74,64,67,Türkgücü München,Left,1,RB,700.0,1
A. Dante,Mali,19,179,70,64,77,SK Sturm Graz,Left,1,LB,1000.0,1
F. Contreras,Mexico,21,172,68,64,72,FC Juárez,Right,1,CM,1000.0,1
F. Girotti,Argentina,21,190,83,64,78,River Plate,Right,1,ST,1000.0,1
Z. Ismail,England,26,178,75,64,65,Bradford City,Right,1,RM,700.0,1
A. Al Salem,Saudi Arabia,27,184,74,64,65,Ettifaq FC,Right,1,CAM,675.0,1
L. Craig,Scotland,33,183,82,64,64,St. Johnstone FC,Left,1,CM,350.0,1
R. Hoffmann,Germany,21,192,84,64,77,Bayern München II,Right,1,GK,1000.0,1
F. Martin,France,30,180,83,64,64,Paris FC,Left,1,CAM,550.0,1
M. Kamissoko,France,27,187,81,64,67,Pau FC,Right,1,CB,675.0,1
C. Essers,Netherlands,23,182,67,64,69,Fortuna Sittard,Right,1,RB,825.0,1
Yeo Reum,Korea Republic,31,175,62,64,64,GwangJu FC,Right,1,RM,475.0,1
L. Schweers,Germany,24,188,89,64,69,FC Würzburger Kickers,Right,1,CB,800.0,1
A. Patache,Romania,32,174,74,64,64,FC Botoşani,Right,1,RB,400.0,1
M. Kreuzriegler,Austria,26,185,77,64,68,Sandefjord Fotball,Left,1,CB,725.0,1
João Felipe,Brazil,19,170,69,64,77,SK Slavia Praha,Right,1,RM,1000.0,1
F. Mera,Ecuador,28,166,67,64,64,Delfín SC,Right,1,RW,600.0,1
S. Hager,Austria,25,187,78,64,68,WSG Tirol,Left,1,CB,725.0,1
M. Güçlü,Turkey,21,182,70,64,74,Valenciennes FC,Left,1,ST,1000.0,1
J. Sternberg,Germany,27,182,77,64,65,Hallescher FC,Left,1,LB,625.0,1
A. Bakayoko,Sierra Leone,24,193,85,64,70,Coventry City,Left,1,ST,925.0,1
T. Söderström,Sweden,26,188,76,64,67,Hammarby IF,Right,1,CAM,700.0,1
J. Caicedo,Ecuador,25,183,80,64,66,Emelec,Left,1,LW,725.0,1
M. Luna Diale,Argentina,21,173,71,64,71,Unión de Santa Fe,Right,1,RW,1000.0,1
Andrés García,Spain,24,181,75,64,71,CD Mirandés,Right,1,CAM,1000.0,1
B. Danger,France,22,182,73,64,71,FC Chambly Oise,Right,1,RB,1000.0,1
H. González,Ecuador,26,165,67,64,67,Delfín SC,Right,1,RB,700.0,1
E. Takeda,Japan,31,173,71,64,64,Yokohama FC,Left,1,LB,425.0,1
Sergio,Spain,28,188,81,64,66,CD Leganés,Right,1,CB,600.0,1
K. Morris,England,26,178,71,64,65,Tranmere Rovers,Left,1,RM,700.0,1
D. Gerken,England,35,183,77,64,64,Colchester United,Right,1,GK,60.0,1
Manu Hernando,Spain,21,183,70,64,76,SD Ponferradina,Right,1,CB,1000.0,1
L. Fraser,Canada,22,185,81,64,77,Toronto FC,Right,1,CDM,1000.0,1
Edi Semedo,Portugal,21,181,66,64,74,Os Belenenses,Right,1,RM,1000.0,1
J. Bjørdal,Norway,34,188,83,64,64,Vålerenga Fotball,Right,1,CB,190.0,1
H. Shimoda,Japan,28,171,66,64,64,Kawasaki Frontale,Left,1,LM,575.0,1
De la Fuente,Spain,21,179,78,64,75,Villarreal CF,Right,1,CB,1000.0,1
A. Gersbach,Australia,23,183,73,64,72,Aarhus GF,Left,1,LB,1000.0,1
M. Dube,South Africa,27,168,70,64,64,Orlando Pirates,Right,1,RB,575.0,1
E. Massouema,France,23,184,71,64,73,ESTAC Troyes,Right,1,CDM,1000.0,1
I. Durmuş,Turkey,26,180,73,64,65,St. Mirren,Left,1,LM,700.0,1
Junior Messias,Brazil,29,179,70,64,64,Crotone,Left,1,CF,575.0,1
M. Şatin,Austria,23,177,69,64,69,SV Ried,Right,1,CAM,875.0,1
Bubacar Djaló,Portugal,23,188,83,64,73,HJK Helsinki,Right,1,CB,1000.0,1
Yu Yang,China PR,30,183,72,64,64,Beijing Sinobo Guoan FC,Right,1,CB,475.0,1
K. Ntlhe,South Africa,26,175,66,64,66,Barrow,Left,1,LB,675.0,1
M. Farfan,United States,21,175,68,64,73,Portland Timbers,Right,1,LB,1000.0,1
D. Carlson,Luxembourg,22,186,82,64,71,Karlsruher SC,Left,1,LB,1000.0,1
J. Navas,Argentina,26,180,71,64,67,Arsenal de Sarandí,Right,1,RB,700.0,1
J. Clarke,England,25,173,70,64,67,Wigan Athletic,Right,1,RB,725.0,1
R. Preißinger,Germany,23,185,78,64,69,FC Ingolstadt 04,Left,1,LWB,800.0,1
W. McDonald,England,23,174,77,64,69,Walsall,Right,1,RM,875.0,1
B. Ould-Chikh,Morocco,22,170,60,64,68,ADO Den Haag,Left,1,CAM,850.0,1
L. Vega,Argentina,24,179,70,64,69,Emelec,Left,1,CB,800.0,1
R. Nurse,Panama,36,187,92,64,64,Pachuca,Right,1,ST,200.0,1
Berto,Spain,22,173,64,64,76,Real Sporting de Gijón,Left,1,LM,1000.0,1
J. Musa,New Zealand,28,191,77,64,65,Minnesota United FC,Left,1,CDM,575.0,1
L. Horn,Germany,21,177,72,64,73,FC Hansa Rostock,Left,1,LM,1000.0,1
Berrocal,Spain,20,184,72,64,78,CD Mirandés,Right,1,CB,1000.0,1
T. Conechny,Argentina,22,170,65,64,73,Portland Timbers,Left,1,CAM,1000.0,1
C. Jakobsen,Denmark,27,189,84,64,65,Lyngby BK,Right,1,CAM,675.0,1
J. Caprice,England,27,179,73,64,64,Exeter City,Right,1,RB,575.0,1
E. Cerrillo,United States,19,178,82,64,81,FC Dallas,Right,1,CDM,1000.0,1
D. Thiam,France,30,179,67,64,64,USL Dunkerque,Left,1,RB,500.0,1
M. Chahiri,France,23,180,77,64,69,RC Strasbourg Alsace,Right,1,RM,875.0,1
G. Henriksson,Sweden,22,186,79,64,71,IF Elfsborg,Right,1,CB,1000.0,1
S. Kobayashi,Japan,26,176,68,64,64,Oita Trinita,Right,1,RM,650.0,1
A. Demirbağ,Turkey,22,185,78,64,70,Atiker Konyaspor,Right,1,CB,850.0,1
S. Mráz,Slovakia,23,173,75,64,71,Zagłębie Lubin,Right,1,ST,1000.0,1
K. Shelton,United States,27,191,82,64,65,Sporting Kansas City,Right,1,ST,675.0,1
Lucas Marques,Brazil,25,178,73,64,70,Santa Clara,Right,1,CDM,825.0,1
Benítez,Spain,20,169,55,64,77,Málaga CF,Right,1,RB,1000.0,1
J. Piroe,Netherlands,20,185,74,64,76,PSV,Left,1,ST,1000.0,1
R. Marshall,Northern Ireland,25,178,74,64,69,Shamrock Rovers,Right,1,RB,800.0,1
C. McCowatt,New Zealand,21,180,73,64,74,No Club,Right,1,RM,0.0,1
Jorge Cuenca,Spain,20,190,75,64,77,UD Almería,Left,1,CB,1000.0,1
D. Wayar,Bolivia,26,169,66,64,67,No Club,Right,1,CDM,0.0,1
J. Thomasen,Denmark,24,177,67,64,70,Odense Boldklub,Right,1,CM,925.0,1
E. Navas,Venezuela,20,172,70,64,81,Aragua FC,Right,1,RW,1000.0,1
G. Karanović,Switzerland,32,186,82,64,64,FC Hermannstadt,Right,1,ST,475.0,1
I. Groothuizen,Netherlands,23,190,88,64,70,Vejle Boldklub,Right,1,GK,750.0,1
J. Kauko,Finland,29,188,85,64,64,No Club,Right,1,CB,0.0,1
M. Pinnock,England,25,190,69,64,65,Kilmarnock,Left,1,RM,700.0,1
H. Radetinac,Serbia,34,187,73,64,64,Djurgårdens IF,Right,1,RW,275.0,1
M. Ovejero,Argentina,33,170,72,64,64,Always Ready,Right,1,LW,375.0,1
S. Barreto,Argentina,21,184,78,64,76,Independiente,Right,1,CB,1000.0,1
R. Inniss,England,25,196,84,64,66,Crystal Palace,Right,1,CB,650.0,1
G. Kiltie,Scotland,23,173,70,64,71,Kilmarnock,Right,1,CAM,1000.0,1
N. Nartey,Denmark,20,185,80,64,78,SV Sandhausen,Right,1,CAM,1000.0,1
M. Jarjué,Gambia,22,188,88,64,72,FK Austria Wien,Right,1,CB,1000.0,1
E. Wichne,Norway,23,174,69,64,72,IK Start,Right,1,RB,1000.0,1
R. Grădinaru,Romania,24,182,77,64,67,FC Voluntari,Right,1,RM,800.0,1
M. Greve,Denmark,25,186,77,64,67,Randers FC,Right,1,CAM,775.0,1
T. Davies,England,28,185,78,64,64,Bristol Rovers,Right,1,CB,500.0,1
Zhao Yuhao,China PR,27,185,79,64,66,Hebei China Fortune FC,Right,1,CB,625.0,1
N. Carnat,Romania,22,181,73,64,72,CFR Cluj,Right,1,RM,1000.0,1
J. Bamert,Switzerland,22,183,76,64,77,FC Sion,Right,1,CB,1000.0,1
L. Thompson,Wales,25,180,75,64,68,Milton Keynes Dons,Right,1,CDM,800.0,1
K. Goden,Germany,21,182,74,64,76,1. FC Nürnberg,Right,1,RB,1000.0,1
T. Valencia,Ecuador,29,175,65,64,64,El Nacional,Right,1,RM,575.0,1
A. Araujo,Argentina,28,164,60,64,64,Club Atlético Talleres,Right,1,RW,600.0,1
A. Caceres,Australia,27,173,67,64,64,Sydney FC,Right,1,CM,625.0,1
C. Mancilla,Colombia,27,184,72,64,67,Deportivo Binacional,Right,1,CB,675.0,1
J. O'Toole,Republic of Ireland,31,188,82,64,64,Burton Albion,Right,1,CB,400.0,1
R. Nagai,Japan,29,180,73,64,64,Sanfrecce Hiroshima,Right,1,ST,575.0,1
N. Könyves,Hungary,31,185,81,64,64,No Club,Right,1,ST,0.0,1
A. Kampetsis,Greece,21,186,81,64,73,Panathinaikos FC,Right,1,ST,1000.0,1
F. Alashe,United States,26,183,77,64,66,Columbus Crew SC,Right,1,CDM,725.0,1
L. Mifflin,Peru,20,182,76,64,70,Melgar FBC,Left,1,LB,850.0,1
I. Isa,Bulgaria,31,184,78,64,64,No Club,Right,1,ST,0.0,1
L. Plogmann,Germany,20,188,83,64,81,SV Meppen,Left,1,GK,1000.0,1
N. Sessa,Germany,24,172,67,64,70,1. FC Kaiserslautern,Left,1,LM,925.0,1
S. Odey,Nigeria,22,182,78,64,71,Amiens SC,Right,1,ST,1000.0,1
Rômulo,Brazil,24,185,75,64,69,Portimonense SC,Right,1,CDM,875.0,1
O. Yaisien,Egypt,20,175,62,64,78,Al Ain FC,Right,1,CAM,1000.0,1
T. Lowery,England,22,168,75,64,72,Crewe Alexandra,Right,1,CAM,1000.0,1
Joel Pereira,Portugal,23,178,68,64,70,Gil Vicente FC,Right,1,RWB,875.0,1
Mario González,Spain,24,184,76,64,69,CD Tondela,Right,1,RW,875.0,1
S. Fox,Scotland,33,183,79,64,64,Motherwell,Right,1,GK,190.0,1
K. Lankford,Germany,21,186,81,64,72,FC St. Pauli,Right,1,RM,1000.0,1
R. Jendrusch,Germany,24,191,85,64,69,FC Ingolstadt 04,Right,1,GK,700.0,1
M. Jeannin,Algeria,29,187,81,64,64,FC Sochaux-Montbéliard,Right,1,GK,400.0,1
J. Grønner,Norway,26,183,80,64,69,Aalesunds FK,Right,1,CB,775.0,1
B. Babić,Switzerland,22,180,74,64,75,FC St. Gallen,Right,1,ST,1000.0,1
A. Ouattara,Burkina Faso,20,176,70,64,80,Vitória Guimarães,Right,1,RM,1000.0,1
M. Nakkim,Norway,23,187,77,64,71,Mjøndalen IF,Right,1,CB,1000.0,1
M. van Ewijk,Netherlands,19,175,70,64,74,ADO Den Haag,Right,1,RB,1000.0,1
H. Sandvik,Norway,30,183,75,64,65,FK Haugesund,Right,1,GK,450.0,1
J. Candia,Bolivia,24,179,72,64,73,Club Blooming,Right,1,CB,1000.0,1
A. Al Barakah,Saudi Arabia,29,175,69,64,64,Abha Club,Right,1,CDM,500.0,1
T. Eastman,England,28,191,88,64,65,Colchester United,Right,1,CB,550.0,1
D. Furtado,France,23,180,67,64,73,Rio Ave FC,Right,1,ST,1000.0,1
F. Vanzo,Belgium,26,180,77,64,67,Politehnica Iaşi,Right,1,CAM,775.0,1
R. Takao,Japan,23,181,68,64,71,Gamba Osaka,Right,1,CB,1000.0,1
M. Done,England,31,178,65,64,64,Rochdale,Left,1,RM,475.0,1
T. Banega,Argentina,21,177,67,64,78,Racing Club,Right,1,CAM,1000.0,1
L. Delgado,Colombia,39,187,85,64,64,Deportivo Pasto,Right,1,GK,60.0,1
E. Sánchez,Mexico,26,186,77,64,67,Club América,Right,1,CAM,775.0,1
L. Šušnjara,Slovenia,23,188,75,64,69,FC Chambly Oise,Left,1,LW,875.0,1
A. D'Errico,Italy,28,171,68,64,64,AC Monza,Right,1,CM,575.0,1
B. Cuesta,Argentina,31,173,76,64,64,Puebla FC,Right,1,ST,500.0,1
J. Brophy,England,25,180,72,64,67,Leyton Orient,Left,1,LM,725.0,1
M. Opondo,Uganda,22,174,72,64,72,Odense Boldklub,Right,1,CAM,1000.0,1
S. Kobayashi,Japan,29,173,71,64,64,Shonan Bellmare,Right,1,RM,575.0,1
J. Kitolano,Norway,20,174,65,64,76,Odds BK,Left,1,LWB,1000.0,1
B. Garré,Argentina,19,171,63,64,82,Racing Club,Left,1,LM,1000.0,1
O. Haydary,Afghanistan,22,171,61,64,71,Lechia Gdańsk,Right,1,RM,1000.0,1
Iván Márquez,Spain,26,191,80,64,68,Cracovia,Right,1,CB,725.0,1
R. Lindkvist,Sweden,30,183,74,64,64,AIK,Left,1,LB,500.0,1
E. Nielsen,Denmark,26,179,75,64,65,Lyngby BK,Right,1,LW,700.0,1
N. Kocik,France,21,193,80,64,71,Valenciennes FC,Right,1,GK,1000.0,1
Kang Ji Hoon,Korea Republic,23,177,66,64,70,Sangju Sangmu FC,Right,1,RW,925.0,1
L. Sierpina,Poland,32,174,68,64,64,Podbeskidzie Bielsko-Biała,Left,1,LM,475.0,1
K. Jacobs,South Africa,30,173,69,64,64,Livingston FC,Right,1,CM,550.0,1
A. Keita,United States,20,189,82,64,76,Columbus Crew SC,Left,1,CB,1000.0,1
S. Abdul-Salaam,United States,28,193,84,64,64,FC Cincinnati,Right,1,RB,525.0,1
Samu Casado,Spain,23,186,77,64,72,AD Alcorcón,Right,1,GK,1000.0,1
F. Jagiełło,Poland,22,180,70,64,72,Brescia,Right,1,CAM,1000.0,1
S. Bourard,Belgium,24,178,69,64,68,ADO Den Haag,Right,1,CAM,850.0,1
J. Zeballos,Uruguay,23,178,75,64,73,FC Barcelona,Right,1,ST,1000.0,1
Leandrinho,Brazil,23,175,73,64,71,Gil Vicente FC,Right,1,RM,1000.0,1
G. Ayadi,Tunisia,23,179,75,64,71,Damac FC,Right,1,CDM,1000.0,1
B. Boutobba,France,21,173,65,64,73,Chamois Niortais Football Club,Left,1,CAM,1000.0,1
P. Mamić,Croatia,24,183,80,64,71,Raków Częstochowa,Left,1,LB,1000.0,1
Nelson Freitosa,Brazil,24,185,81,64,64,Ceará Sporting Club,Right,1,GK,500.0,1
J. Thompson,Northern Ireland,23,175,65,64,72,Stoke City,Left,1,CAM,1000.0,1
K. Vollmann,Germany,26,174,70,64,66,FC Hansa Rostock,Right,1,CAM,725.0,1
A. Adli,France,20,174,60,64,77,Toulouse Football Club,Left,1,CAM,1000.0,1
S. Humphrys,England,22,185,91,64,71,Rochdale,Right,1,ST,1000.0,1
A. Campos,Peru,27,182,82,64,67,Melgar FBC,Right,1,GK,575.0,1
C. Hemlein,Germany,29,181,79,64,64,SV Meppen,Right,1,RM,575.0,1
Show,Angola,21,180,73,64,78,Boavista FC,Right,1,CDM,1000.0,1
F. Carstens,Germany,21,192,89,64,73,SV Wehen Wiesbaden,Right,1,CB,1000.0,1
J. Salazar,Colombia,23,170,71,64,73,Millonarios FC,Right,1,RM,1000.0,1
Toni Herrero,Spain,19,178,74,64,80,Levante UD,Left,1,LM,1000.0,1
A. Jahn,United States,29,191,91,64,64,Atlanta United,Right,1,ST,575.0,1
L. Lokotsch,Germany,24,190,82,64,71,Livingston FC,Right,1,ST,1000.0,1
M. Lekven,Norway,32,177,72,64,64,Vålerenga Fotball,Right,1,CM,450.0,1
A. Lassiter,Costa Rica,25,178,70,64,67,Houston Dynamo,Left,1,ST,775.0,1
B. Dabanlı,Germany,30,190,88,64,64,SCR Altach,Right,1,CB,475.0,1
M. Coulibaly,Senegal,21,183,77,64,78,Udinese,Right,1,CDM,1000.0,1
F. García,Argentina,20,172,70,64,72,Valencia CF,Right,1,CDM,1000.0,1
M. Szczepański,Poland,22,168,60,64,75,Raków Częstochowa,Right,1,RM,1000.0,1
D. Escalante,Mexico,30,179,83,64,64,Atlético de San Luis,Left,1,CB,475.0,1
A. Andrade,Panama,21,187,78,64,73,LASK Linz,Left,1,CB,1000.0,1
G. Comas,Argentina,22,174,70,64,73,Unión de Santa Fe,Right,1,CAM,1000.0,1
F. López,Mexico,24,178,72,64,71,FC Juárez,Right,1,GK,1000.0,1
J. Yates,England,23,175,68,64,69,Blackpool,Right,1,ST,900.0,1
C. Brittain,England,22,181,68,64,73,Milton Keynes Dons,Right,1,RB,1000.0,1
T. Jacobsen,Germany,23,182,76,64,71,1. FC Magdeburg,Left,1,LWB,1000.0,1
C. Schneuwly,Switzerland,32,178,74,64,64,FC Lausanne-Sport,Right,1,RM,450.0,1
R. Celis,Venezuela,24,174,62,64,71,Caracas FC,Right,1,ST,1000.0,1
F. Përdedaj,Kosovo,28,173,70,64,64,1. FC Saarbrücken,Right,1,CDM,525.0,1
Chema Núñez,Spain,22,174,64,64,73,Albacete BP,Right,1,CAM,1000.0,1
F. Chabrolle,France,22,171,65,64,73,Olympique de Marseille,Right,1,CAM,1000.0,1
R. Bouhenna,Algeria,29,191,85,64,65,Sepsi OSK,Right,1,CB,550.0,1
J. Obika,England,29,183,76,64,64,St. Mirren,Left,1,ST,575.0,1
L. Fosgaard,Denmark,33,181,77,64,64,Lyngby BK,Right,1,RWB,300.0,1
C. Missilou,Congo,27,180,75,64,65,Northampton Town,Right,1,CDM,600.0,1
M. López,Peru,20,175,67,64,74,San Jose Earthquakes,Left,1,LWB,1000.0,1
T. Reijnders,Netherlands,21,185,73,64,71,AZ Alkmaar,Right,1,CAM,1000.0,1
C. Núñez,Uruguay,27,175,83,64,64,Deportivo Pasto,Right,1,ST,625.0,1
Juanma Bravo,Spain,22,188,74,64,73,AD Alcorcón,Right,1,CM,1000.0,1
A. Tosin,Nigeria,22,179,77,64,76,FC Zürich,Right,1,ST,1000.0,1
Song Ju Hun,Korea Republic,26,190,83,64,69,Shenzhen FC,Left,1,CB,775.0,1
T. Nijhuis,Netherlands,21,196,83,64,70,FC Utrecht,Right,1,GK,775.0,1
T. Craig,England,35,185,79,64,64,Crawley Town,Left,1,CB,150.0,1
A. Gómez,Peru,27,174,63,64,64,Alianza Lima,Left,1,LM,625.0,1
R. Kaib,Sweden,23,178,63,64,70,IF Elfsborg,Left,1,LWB,875.0,1
D. Edwards,Wales,34,183,78,64,64,Shrewsbury,Right,1,CM,275.0,1
R. Beerens,Netherlands,32,173,63,64,64,Vitesse,Right,1,RM,475.0,1
S. Al Rubaie,Saudi Arabia,26,187,81,64,69,Ettifaq FC,Right,1,CB,775.0,1
O. Bic,Romania,26,179,75,64,67,Universitatea Craiova,Left,1,CDM,750.0,1
J. Mascia,Uruguay,26,188,77,64,66,Club Plaza Colonia,Right,1,ST,725.0,1
G. Merloi,Romania,20,170,67,64,78,Astra Giurgiu,Left,1,LM,1000.0,1
U. Ikpeazu,Uganda,25,191,78,64,66,Wycombe Wanderers,Right,1,ST,750.0,1
T. Clarke,Republic of Ireland,22,175,66,64,74,Rotherham United,Left,1,LM,1000.0,1
L. Brassier,France,20,184,78,64,74,Stade Brestois 29,Left,1,CB,1000.0,1
Regalón,Spain,33,182,68,64,64,C.D. Castellón,Right,1,CB,275.0,1
J. O'Brien,Republic of Ireland,34,188,82,64,64,Shamrock Rovers,Right,1,CB,190.0,1
J. Sánchez,Peru,31,167,70,64,64,Melgar FBC,Right,2,RM,475.0,2
L. Prosser,England,32,191,79,64,64,Stevenage,Left,1,CB,375.0,1
M. Endres,Germany,29,189,83,64,65,SpVgg Unterhaching,Right,1,CB,550.0,1
Bai Jiajun,China PR,29,166,65,64,64,Shanghai Greenland Shenhua FC,Left,1,LB,525.0,1
R. Boissier,France,26,181,73,64,67,Rodez Aveyron Football,Right,1,CM,750.0,1
Lee Jin Hyun,Korea Republic,22,173,65,64,73,Daegu FC,Left,1,LM,1000.0,1
Y. Musah,England,17,178,73,64,83,Valencia CF,Right,1,RM,1000.0,1
E. Jonassen,Norway,27,176,78,64,65,Stabæk Fotball,Left,1,LB,625.0,1
S. Benchama,France,20,185,71,64,75,Montpellier HSC,Right,1,RM,1000.0,1
Alex Baena,Spain,18,174,69,64,79,Villarreal CF,Right,1,CAM,1000.0,1
D. Diop,Senegal,27,182,69,64,65,Hatayspor,Right,1,ST,675.0,1
H. Watanabe,Japan,32,186,80,63,63,Vissel Kobe,Right,1,CB,300.0,1
S. Mensiro,Ghana,31,175,74,63,63,Östersunds FK,Right,1,RB,350.0,1
F. Iacob,Romania,26,180,84,63,67,UTA Arad,Right,1,GK,525.0,1
J. Simonsen,Denmark,24,184,76,63,67,SønderjyskE,Right,1,RM,650.0,1
Carlos Alves,Portugal,22,187,80,63,71,Rio Ave FC,Right,1,GK,925.0,1
K. Dempsey,England,24,178,75,63,68,Gillingham,Right,1,RM,725.0,1
L. Fenton,New Zealand,27,175,70,63,64,Wellington Phoenix,Right,1,RB,500.0,1
P. Malarczyk,Poland,28,191,88,63,63,Piast Gliwice,Right,1,CB,425.0,1
O. Gaona Lugo,Paraguay,29,178,81,63,63,Sportivo Luqueño,Right,1,RW,475.0,1
V. Bergan,Norway,25,193,85,63,69,IK Start,Right,1,CB,675.0,1
B. Kantarovski,Australia,28,183,74,63,63,Newcastle Jets,Right,1,CDM,425.0,1
M. Holz,Germany,30,181,78,63,63,Türkgücü München,Right,1,CM,450.0,1
M. Roginić,Croatia,24,188,80,63,68,Podbeskidzie Bielsko-Biała,Right,1,ST,725.0,1
C. Lavery,Northern Ireland,27,180,76,63,64,Walsall,Right,1,ST,550.0,1
K. Kurt,Germany,18,172,68,63,79,Borussia Mönchengladbach,Right,1,RB,1000.0,1
Y. Takahashi,Japan,35,170,67,63,63,Sagan Tosu,Right,1,CDM,190.0,1
F. de Keijzer,Netherlands,20,193,83,63,74,FC Utrecht,Right,1,GK,900.0,1
E. Abedini,Kosovo,21,190,76,63,76,Granada CF,Right,1,CDM,1000.0,1
A. Dej,Poland,28,174,74,63,63,Viktoria Köln,Right,1,CAM,475.0,1
J. Gutiérrez,Uruguay,18,178,72,63,76,UD Almería,Right,1,CAM,1000.0,1
K. de la Fuente,United States,18,170,63,63,79,FC Barcelona,Right,1,RM,1000.0,1
O. Yılmaz,Turkey,27,185,82,63,65,Denizlispor,Right,1,CB,500.0,1
N. Banegas,Argentina,23,176,80,63,70,Central Córdoba,Left,1,CB,925.0,1
B. Balcı,Turkey,20,174,69,63,77,Antalyaspor,Right,1,CDM,1000.0,1
A. Helac,Austria,22,190,87,63,72,FK Austria Wien,Right,1,GK,925.0,1
Edu Espiau,Spain,25,185,79,63,68,UD Las Palmas,Right,1,ST,725.0,1
S. Evangelou,Greece,22,185,75,63,74,Górnik Zabrze,Right,1,CB,1000.0,1
R. ten Hove,Netherlands,22,193,75,63,71,Feyenoord,Right,1,GK,925.0,1
A. Hayden,England,23,186,79,63,70,Carlisle United,Right,1,CB,900.0,1
A. Gero,Nigeria,26,189,85,63,66,Helsingborgs IF,Right,1,ST,625.0,1
H. Vandermersch,France,21,180,72,63,73,Stade Malherbe Caen,Right,1,LB,1000.0,1
U. Bangura,Sierra Leone,32,180,75,63,63,FC Zürich,Right,1,CB,300.0,1
D. Maderner,Austria,24,190,82,63,67,SCR Altach,Right,1,ST,700.0,1
J. Mason,Republic of Ireland,29,178,73,63,63,Milton Keynes Dons,Right,1,ST,475.0,1
M. Canadi,Austria,22,185,76,63,70,SV Ried,Left,1,CAM,975.0,1
E. Nolan,Republic of Ireland,31,185,77,63,63,Crewe Alexandra,Right,1,CB,325.0,1
M. Jones,England,32,183,78,63,63,Barrow,Right,1,RM,375.0,1
F. Nouble,England,28,190,82,63,63,Plymouth Argyle,Right,1,ST,475.0,1
J. García,Argentina,18,181,73,63,77,Vélez Sarsfield,Right,1,RB,1000.0,1
B. Gschweidl,Austria,24,178,73,63,67,SV Ried,Right,1,ST,700.0,1
E. Hurtado,United States,29,178,83,63,63,Sporting Kansas City,Right,1,ST,475.0,1
J. Hammar,Sweden,26,197,84,63,68,BK Häcken,Right,1,CB,625.0,1
L. Brochero,Argentina,21,172,70,63,74,Central Córdoba,Right,1,ST,1000.0,1
S. Sithole,South Africa,21,188,80,63,71,Os Belenenses,Right,1,CDM,1000.0,1
L. Netz,Germany,17,188,74,63,85,Hertha BSC,Left,1,LB,1000.0,1
K. Biliński,Poland,32,182,79,63,63,Podbeskidzie Bielsko-Biała,Right,1,ST,400.0,1
K. Tagawa,Japan,21,181,70,63,71,FC Tokyo,Left,1,LM,1000.0,1
P. Yade,Senegal,20,185,76,63,78,FC Metz,Left,1,ST,1000.0,1
F. Brignani,Italy,22,182,75,63,75,Bologna,Right,1,CB,1000.0,1
João Mario,Portugal,20,178,62,63,76,FC Porto,Right,1,ST,1000.0,1
M. Mihalache,Romania,35,182,80,63,63,Politehnica Iaşi,Right,1,CB,130.0,1
A. Stahl,Romania,21,180,69,63,76,Astra Giurgiu,Right,1,RM,1000.0,1
G. Mutombo,France,24,186,75,63,71,ESTAC Troyes,Left,1,CB,1000.0,1
Dani Cárdenas,Spain,23,186,80,63,73,Levante UD,Right,1,GK,925.0,1
C. Akono,Germany,20,190,78,63,77,1. FSV Mainz 05,Left,1,ST,1000.0,1
G. Matei,Romania,30,177,74,63,63,FC Argeș,Right,1,RB,425.0,1
F. Michel,Lebanon,25,189,83,63,68,AIK,Right,1,CB,650.0,1
D. Szymonowicz,Poland,24,184,67,63,70,Cracovia,Right,1,CB,900.0,1
C. Rus,Romania,29,178,75,63,63,UTA Arad,Right,1,ST,475.0,1
F. Marquet,Belgium,25,172,66,63,66,KV Oostende,Right,1,CDM,625.0,1
M. Hamzi,Saudi Arabia,28,172,61,63,63,Al Hazem,Right,1,LM,475.0,1
P. Schikowski,Poland,28,181,75,63,63,SC Verl,Left,1,LW,475.0,1
Álex Domínguez,Spain,21,187,80,63,75,UD Las Palmas,Right,1,GK,1000.0,1
